,index_t,Series,Release Year,IMDB Rating,Genre,Director,Stars,soup
5689,Junjou Romantica - (2008 -  ),Junjou Romantica,(2008 -  ),7.7,"Animation, Comedy, Drama",Unavailable,"aisuke Kageu, Nobutoshi Cann, Hikaru Hanad, Kazuhiko Inou","Animation, Comedy, Drama, Unavailable, aisuke Kageu, Nobutoshi Cann, Hikaru Hanad, Kazuhiko Inou"
5690,Top Cat - (1961 - 1962),Top Cat,(1961 - 1962),7.1,"Animation, Comedy, Family",Unavailable,"Leo DeLyon, Allen Jenkin, Arnold Stang, Maurice Gosfield","Animation, Comedy, Family, Unavailable, Leo DeLyon, Allen Jenkin, Arnold Stang, Maurice Gosfield"
5691,M.O.D.O.K. - (2020 -  ),M.O.D.O.K.,(2020 -  ),,Animation,Unavailable,"Beck Benn, Jon Daly, Aimee Ga, Wendi McLendon-Covey","Animation, Unavailable, Beck Benn, Jon Daly, Aimee Ga, Wendi McLendon-Covey"
5692,Shin Chan - (1992 -  ),Shin Chan,(1992 -  ),7.9,"Animation, Comedy",Unavailable,"Laura Bailey, Akiko Yajim, Colleen Clinkenbeard, Cynthia Cranz","Animation, Comedy, Unavailable, Laura Bailey, Akiko Yajim, Colleen Clinkenbeard, Cynthia Cranz"
5693,Golden Kamuy - (2018 -  ),Golden Kamuy,(2018 -  ),7.8,"Animation, Action, Adventure",Unavailable,"Chikahiro Kobayash, Haruka Shiraish, Kentarô Itô, Fumihiko Tachik","Animation, Action, Adventure, Unavailable, Chikahiro Kobayash, Haruka Shiraish, Kentarô Itô, Fumihiko Tachik"
5694,Masters of the Universe vs. the Snake Men - (2002 - 2004),Masters of the Universe vs. the Snake Men,(2002 - 2004),7.4,"Adventure, Animation, Family",Unavailable,"Cam Clark, Garry Chalk,  McNeil, Brian Dobson","Adventure, Animation, Family, Unavailable, Cam Clark, Garry Chalk,  McNeil, Brian Dobson"
5695,The Room Actors: Where Are They Now? - (2016 -  ),The Room Actors: Where Are They Now?,(2016 -  ),7.4,Comedy,Unavailable,"Craig Cackowsk, Greg Ellery, Carolyn Minn, Robyn P","Comedy, Unavailable, Craig Cackowsk, Greg Ellery, Carolyn Minn, Robyn P"
5696,Fate/Grand Order - Absolute Demonic Front: Babylonia - (2019 - 2020),Fate/Grand Order - Absolute Demonic Front: Babylonia,(2019 - 2020),7.2,"Animation, Action, Drama",Unavailable,"Tomokazu Sek, Nobunaga Shimazak, Rie Takahash, ""Kenichi Suzumu""","Animation, Action, Drama, Unavailable, Tomokazu Sek, Nobunaga Shimazak, Rie Takahash, ""Kenichi Suzumu"""
5697,40 y 20 - (2016 -  ),40 y 20,(2016 -  ),7.7,Comedy,Unavailable,"""Jorge El Burro Van Rankin"", Mauricio Garz, Michelle Rodríguez, Mónica Hu","Comedy, Unavailable, ""Jorge El Burro Van Rankin"", Mauricio Garz, Michelle Rodríguez, Mónica Hu"
5698,Dixon of Dock Green - (1955 - 1976),Dixon of Dock Green,(1955 - 1976),6.6,"Crime, Drama",Unavailable,"Jack Warn, Peter Byrn, Geoffrey Adam, Arthur Rigby","Crime, Drama, Unavailable, Jack Warn, Peter Byrn, Geoffrey Adam, Arthur Rigby"
5699,The Pack - (2020 -  ),The Pack,(2020 -  ),,"Drama, Thriller",Unavailable,"Alfredo C, Paula Luchsing, María Gracia Omegn, niela Veg","Drama, Thriller, Unavailable, Alfredo C, Paula Luchsing, María Gracia Omegn, niela Veg"
5700,Emily Owens M.D. - (2012 - 2013),Emily Owens M.D.,(2012 - 2013),7.5,"Comedy, Drama, Romance",Unavailable,"Mamie Gumm, Justin Hartley, Aja Naomi King, Michael Rady","Comedy, Drama, Romance, Unavailable, Mamie Gumm, Justin Hartley, Aja Naomi King, Michael Rady"
5701,Flea Market Flip - (2012 -  ),Flea Market Flip,(2012 -  ),6.6,Reality-TV,Unavailable,"Lara Spen, Justin Krzyston, Vanessa Jov, Benjamin Jon","Reality-TV, Unavailable, Lara Spen, Justin Krzyston, Vanessa Jov, Benjamin Jon"
5702,Angela Anaconda - (1999 - 2002),Angela Anaconda,(1999 - 2002),4.6,"Animation, Family, Comedy",Unavailable,"ue R, Bryn McAuley, Al Mukadam, Ruby Smith-Merovitz","Animation, Family, Comedy, Unavailable, ue R, Bryn McAuley, Al Mukadam, Ruby Smith-Merovitz"
5703,Ruyi's Royal Love in the Palace - 2018,Ruyi's Royal Love in the Palace,2018,7.6,"Drama, History",Unavailable,"Xun Zhou, Wallace Hu, Janine Chun-Ning Chang, Youming Huang","Drama, History, Unavailable, Xun Zhou, Wallace Hu, Janine Chun-Ning Chang, Youming Huang"
5704,Annedroids - (2013 -  ),Annedroids,(2013 -  ),6.3,"Family, Sci-Fi",Unavailable,"Addison Holley, Jadiel Dowlin, Adrianna Di Liell, Millie Dav","Family, Sci-Fi, Unavailable, Addison Holley, Jadiel Dowlin, Adrianna Di Liell, Millie Dav"
5705,The Hotwives of Las Vegas - (2015 -  ),The Hotwives of Las Vegas,(2015 -  ),6.3,Comedy,Unavailable,"Erinn Hay, Tymberlee Hill, Angela Kinsey, nnah Feinglass Phirman","Comedy, Unavailable, Erinn Hay, Tymberlee Hill, Angela Kinsey, nnah Feinglass Phirman"
5706,Klovn - (2005 -  ),Klovn,(2005 -  ),8.4,Comedy,Unavailable,"Frank Hvam, Casper Christensen, Mia Lyhn, Iben Hjejl","Comedy, Unavailable, Frank Hvam, Casper Christensen, Mia Lyhn, Iben Hjejl"
